Title,YouTube URL,Description URL,Description URL Status
Software Testing (QA) Introduction - pt 8 - What Is Manual Testing?,https://youtube.com/watch?v=3P1cl34zF6k,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 8 - What Is Manual Testing?,https://youtube.com/watch?v=3P1cl34zF6k,https://supersqa.com/courses/create-e...,
Software Testing (QA) Introduction - pt 7 - Test Case Examples,https://youtube.com/watch?v=yzxeZQUA4oA,http://supersqa.com/selenium-python-f...,
Software Testing (QA) Introduction - pt 7 - Test Case Examples,https://youtube.com/watch?v=yzxeZQUA4oA,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 7 - Test Case Examples,https://youtube.com/watch?v=yzxeZQUA4oA,https://supersqa.com/courses/create-e...,
Software Testing (QA) Introduction - pt 6 - Types of Testing,https://youtube.com/watch?v=9-HxFnVF3LQ,http://supersqa.com/selenium-python-f...,
Software Testing (QA) Introduction - pt 6 - Types of Testing,https://youtube.com/watch?v=9-HxFnVF3LQ,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 6 - Types of Testing,https://youtube.com/watch?v=9-HxFnVF3LQ,https://supersqa.com/courses/create-e...,
Software Testing (QA) Introduction - pt 5 - QA's Role In a Company,https://youtube.com/watch?v=ZWpgf8HWi6Y,http://supersqa.com/selenium-python-f...,
Software Testing (QA) Introduction - pt 5 - QA's Role In a Company,https://youtube.com/watch?v=ZWpgf8HWi6Y,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 5 - QA's Role In a Company,https://youtube.com/watch?v=ZWpgf8HWi6Y,https://supersqa.com/courses/create-e...,
Software Testing (QA) Introduction - pt 4 - Why is QA Interesting?,https://youtube.com/watch?v=grO6RDMH4GY,http://supersqa.com/selenium-python-f...,
Software Testing (QA) Introduction - pt 4 - Why is QA Interesting?,https://youtube.com/watch?v=grO6RDMH4GY,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 4 - Why is QA Interesting?,https://youtube.com/watch?v=grO6RDMH4GY,https://supersqa.com/courses/create-e...,
Software Testing (QA) Introduction - pt 3 - Automation Demo & Coupons,https://youtube.com/watch?v=b057MopTa7s,http://supersqa.com/selenium-python-f...,
Software Testing (QA) Introduction - pt 3 - Automation Demo & Coupons,https://youtube.com/watch?v=b057MopTa7s,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 3 - Automation Demo & Coupons,https://youtube.com/watch?v=b057MopTa7s,https://supersqa.com/courses/create-e...,
Software Testing (QA) Introduction - pt 2 - What is QA/QE?,https://youtube.com/watch?v=WYmv6C3eAIM,http://supersqa.com/selenium-python-f...,
Software Testing (QA) Introduction - pt 2 - What is QA/QE?,https://youtube.com/watch?v=WYmv6C3eAIM,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 2 - What is QA/QE?,https://youtube.com/watch?v=WYmv6C3eAIM,https://supersqa.com/courses/create-e...,
Software Testing (QA) Introduction - pt 1 - Course Introduction,https://youtube.com/watch?v=2aCagt-J0Io,http://supersqa.com/selenium-python-f...,
Software Testing (QA) Introduction - pt 1 - Course Introduction,https://youtube.com/watch?v=2aCagt-J0Io,https://supersqa.com/4-for-1/,
Software Testing (QA) Introduction - pt 1 - Course Introduction,https://youtube.com/watch?v=2aCagt-J0Io,https://supersqa.com/courses/create-e...,
Selenium WebDriver with Python Crash Course,https://youtube.com/watch?v=MWxifZJDCG8,https://supersqa.com/bootcamp/,
Selenium WebDriver with Python Crash Course,https://youtube.com/watch?v=MWxifZJDCG8,https://supersqa.com/4-for-1/,
Selenium WebDriver with Python Crash Course,https://youtube.com/watch?v=MWxifZJDCG8,http://supersqa.com/selenium-python-f...,
Selenium WebDriver with Python Crash Course,https://youtube.com/watch?v=MWxifZJDCG8,https://supersqa.com/courses/introduc...,
Selenium WebDriver with Python Crash Course,https://youtube.com/watch?v=MWxifZJDCG8,https://supersqa.com/courses/create-e...,
Selenium WebDriver with Python Crash Course,https://youtube.com/watch?v=MWxifZJDCG8,https://docs.google.com/spreadsheets/...,
Install and Crete Python Virtual Environment on Windows (Python 2 and Python 3),https://youtube.com/watch?v=jtRhUp1z9wI,https://supersqa.com,
Install and Crete Python Virtual Environment on Windows (Python 2 and Python 3),https://youtube.com/watch?v=jtRhUp1z9wI,https://supersqa.com/4-for-1/,
Install and Crete Python Virtual Environment on Windows (Python 2 and Python 3),https://youtube.com/watch?v=jtRhUp1z9wI,https://supersqa.com,
How to Install Python 3 (and 2) on Mac,https://youtube.com/watch?v=LQpxup17Wv8,https://supersqa.com,
How to Install Python 3 (and 2) on Mac,https://youtube.com/watch?v=LQpxup17Wv8,https://supersqa.com/4-for-1/,
What is Python Virtual Environment and How to Use It,https://youtube.com/watch?v=iSDwU-I35N0,https://supersqa.com,
What is Python Virtual Environment and How to Use It,https://youtube.com/watch?v=iSDwU-I35N0,https://supersqa.com/4-for-1/,
How to install multiple versions of Python on Windows (Python 2 Python 3),https://youtube.com/watch?v=gvPiD9GlxQk,https://supersqa.com,
How to install multiple versions of Python on Windows (Python 2 Python 3),https://youtube.com/watch?v=gvPiD9GlxQk,https://supersqa.com/4-for-1/,
Setup WooCommerce API and Test It with Postman and Python,https://youtube.com/watch?v=Vq6rAVfqK3k,https://supersqa.com,
Setup WooCommerce API and Test It with Postman and Python,https://youtube.com/watch?v=Vq6rAVfqK3k,https://supersqa.com/4-for-1/,
Changing Window Size with Selenium Webdriver and Python,https://youtube.com/watch?v=o9-gir-Nqb4,https://www.udemy.com/course/selenium...,
Passing parameters (arguments) to steps - BDD with Python (Cucumber/Behave/Gherkin),https://youtube.com/watch?v=jVJry1jx2dk,http://supersqa.com/youtube/bdd,
Feature file explained - BDD with Python (Cucumber / Gherkin / Behave),https://youtube.com/watch?v=8l-2CBngZX0,http://supersqa.com/youtube/bdd,
Implicit Wait Vs. Explicit Wait - Selenium WebDriver with Python,https://youtube.com/watch?v=uA9T4YL1pLs,https://www.udemy.com/course/selenium...,
